Date,Region,Place,Trigger,Depth,Width,Vertical,Elevation,Fatalities 
12/9/2024,Salt Lake,Scotts Bowl,Skier,"12""",30',400',"9,700'",0
12/9/2024,Salt Lake,Mill B South,Natural,"6""",15',150',"8,700'",0
12/12/2024,Salt Lake,Room of Doom,Natural,unknown,unknown,unknown,"10,000'",0
12/12/2024,Salt Lake,Mongo no,Natural,"4""",25',125',"9,200'",0
12/13/2024,Salt Lake,Sun Dial,Hiker,"6""",10',30',"9,500'",0
12/15/2024,Salt Lake,Alexander Basin,Skier,"12""",30',600',"9,400'",0
12/15/2024,Salt Lake,Cardiff Peak,Snowboarder,"16""",40',400',"9,800'",0
12/15/2024,Salt Lake,Silver Fork,Snowboarder,"12""",50',200',"9,800'",0
12/15/2024,Salt Lake,Grizzly Gulch,Skier,"16""",100',unknown,"9,400'",0
12/15/2024,Salt Lake,West Monitor,Skier,"15""",80',200',"9,500'",0
12/15/2024,Salt Lake,Banana Days,Natural,2',70',300',"9,700'",0
12/15/2024,Salt Lake,Patsy Marly,Skier,"18""",20',unknown,"9,600'",0
12/16/2024,Salt Lake,Wolverine Cirque,Skier,2',100',500',"10,300'",0
12/17/2024,Salt Lake,Main Days,Skier,2',800',"1,000'","10,200'",0
12/17/2024,Salt Lake,Scotts Peak,Skier,2',70',700',"9,800'",0
12/21/2024,Salt Lake,South Monitor Bowl,Skier,2',40',500',"9,900'",0
12/24/2024,Salt Lake,Catherine's Pass,Skier,"12""",60',400',"10,400'",0
12/26/2024,Salt Lake,Butler Fork,Skier,"16""",100',150',"9,300'",0
12/27/2024,Salt Lake,South Monitor Bowl,Natural,"18""",600',600',"9,600'",0
12/28/2024,Salt Lake,Willows,Skier,"18""",200',200',"9,300'",0
12/28/2024,Salt Lake,Patsy Trees,Skier,2',250',400',"9,600'",0
12/28/2024,Salt Lake,Kessler Peak,Unknown,"12""",25',unknown,"8,600'",0
12/28/2024,Salt Lake,Willows,Natural,4',250',350',"9,400'",0
12/28/2024,Salt Lake,Twin Lakes Pass,Skier,3',"1,500'",unknown,"10,000'",0
12/28/2024,Salt Lake,Park City Ridgeline,Snowboarder,"18""",50',50',"7,200'",0
12/28/2024,Salt Lake,Willows,Natural,"18""",100',100',"9,600'",0
12/28/2024,Salt Lake,Cardiff Bowl,Skier,"12""",50',60',"9,900'",0
12/28/2024,Salt Lake,Lake Desolation,Natural,3',300',600',"9,600'",0
12/28/2024,Salt Lake,Georges Bowl,Skier,"12""",150',200',"10,000'",0
12/28/2024,Salt Lake,Lanes Leap,Skier,"20""",50',unknown,"9,600'",0
12/28/2024,Salt Lake,Sheep Shit Ridge,Skier,"12""",100',300',"9,400'",0
12/28/2024,Salt Lake,White Pine Canyon,Natural,"10""",10',20',"7,300'",0
12/28/2024,Salt Lake,Short Swing,Natural,2',25',,"9,100'",0
12/28/2024,Salt Lake,Snake Creek,Natural,unknown,unknown,"1,250'","10,000'",0
12/28/2024,Salt Lake,West Desolation Ridge,Natural,5',"1,000'",unknown,"9,600'",0
